,iteration_number,vol_water,vol_blue,vol_yellow,vol_red,measured_red,measured_green,measured_blue,error
0,1.0,37.633188164040504,17.867261079867365,21.914403944875932,12.585146811216196,125.0,105.0,44.0,220.14210233662868
1,1.0,57.736712316050195,18.494005584799304,5.455057374304443,8.314224724846062,125.0,111.0,64.0,1009.1579755366286
2,1.0,58.41866792871223,2.305111535561899,21.71507384394067,7.561146691785199,136.0,113.0,43.0,759.5389288166286
3,1.0,37.65609959522678,27.14783795228659,16.750138380254224,8.445924072232408,123.0,108.0,49.0,332.4278165366287
4,1.0,38.51118524963131,24.169170788236098,23.939222843250942,3.380421118881647,122.0,108.0,43.0,219.2055942166287
5,1.0,37.24562276536349,22.257545548675765,12.632186544091475,17.864645141869264,122.0,100.0,50.0,214.2055940566287
6,1.0,60.99631187801509,1.6792523000342063,17.874336818196866,9.45009900375383,136.0,108.0,43.0,615.6500398166286
7,1.0,47.29472778422986,18.88219233586907,19.403880570146775,4.4191993097542905,124.0,110.0,47.0,360.66591189662864
8,1.0,31.652040414628246,23.470716159633174,23.679304853232857,11.197938572505722,126.0,104.0,44.0,224.68178493662867
9,1.0,24.46116826807787,18.71923330602456,20.253746284458533,26.565852141439038,126.0,95.0,41.0,135.72940377662871
10,1.0,48.17613699542318,14.540290510673318,22.97247495361573,4.311097540287772,130.0,112.0,50.0,630.0786108566285
11,1.0,46.70818214411368,1.3072288948342825,27.24332438490441,14.741264576147628,132.0,103.0,43.0,368.4913092166286
12,2.0,35.33585466433673,17.961069535911165,21.660517387389607,15.042558412362501,118.0,97.0,42.0,28.062736496628812
13,2.0,52.1804916707313,18.59777854228077,6.136826336387113,13.084903450600816,122.0,104.0,58.0,519.8563878166286
14,2.0,50.73325124339056,7.902861424596625,21.189883534807358,10.174003797205456,127.0,106.0,43.0,272.2373406166286
15,2.0,36.78462026594265,26.08252014685877,18.309452655535267,8.823406931663317,119.0,102.0,46.0,118.53892717662875
16,2.0,33.29938740521146,23.78163333673487,23.506806483325445,9.412172774728216,120.0,101.0,42.0,67.80876849662877
17,2.0,33.574533347611954,21.798846177104586,12.902169430986154,21.724451044297304,119.0,96.0,46.0,83.87226037662877
18,2.0,49.765957914303314,4.379535664172408,18.879684450430233,16.974821971094045,130.0,101.0,43.0,280.30083281662866
19,2.0,37.22658319824693,18.871721171170446,19.85041114554355,14.051284485039076,118.0,98.0,39.0,14.888133336628822
20,2.0,32.70631380024019,21.41266923121033,22.447140713155083,13.433876255394402,115.0,95.0,42.0,18.55479969662886
21,2.0,24.307366242023647,18.810237259728353,20.2770794498979,26.60531704835011,116.0,83.0,30.0,234.72940265662896
22,2.0,41.35559504635593,15.525675753618206,22.25130895571661,10.867420244309256,122.0,100.0,43.0,92.98337181662873
23,2.0,39.914335787226634,7.08725193124148,26.657686836392315,16.34072544513957,130.0,101.0,43.0,280.30083281662866
24,3.0,34.98968871299003,18.158798116612562,21.57245132222386,15.279061848173546,121.0,95.0,44.0,77.09448273662878
25,3.0,47.481004063766754,18.611460927210718,10.185824117833684,13.721710891188842,115.0,97.0,49.0,125.3325775366288
26,3.0,45.47208971747873,12.65984303290911,20.824893997311197,11.043173252300958,121.0,99.0,39.0,47.618292336628784
27,3.0,38.246147118802405,22.613839505757888,18.858741048713473,10.28127232672623,118.0,97.0,42.0,28.062736496628812
28,3.0,33.49927876185887,23.243556079515326,21.994121528336738,11.26304363028907,120.0,98.0,41.0,40.157974776628784
29,3.0,35.02403228348265,21.13106455829104,13.912802262672342,19.932100895553972,115.0,91.0,45.0,77.39606945662885
30,3.0,41.655653886851695,11.8684117801988,19.233128995610624,17.242805337338876,126.0,95.0,38.0,125.77702281662873
31,3.0,36.219768739648636,18.870674054700583,19.895064203083226,15.014493002567555,121.0,95.0,36.0,42.55480017662882
32,3.0,33.676129377087534,20.698053075895963,21.683609805331447,13.94220774168505,120.0,93.0,38.0,36.31670481662882
33,3.0,24.90688267964289,18.80722126043837,20.118603970595796,26.167292089322945,117.0,85.0,38.0,128.1421012166289
34,3.0,39.023793355543766,17.12603311012465,21.09960325923438,12.750570275097205,119.0,96.0,42.0,34.6024190966288
